ID_DETALLE,NOMCIENTIFICO,ALTURATOTAL,VOLUMENCOMER,DENSIDAD,ESTADO_COPA,ESTADO_FUSTE,ESTADO_RAIZ,EST_RAIZ_GEN,NIVEL_RIESGO,ESTADO_FITO,TRATAMIENTO
1612750498351,Ficus elastica,13,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Poda Estructural
1639177795281,Eugenia myrtifolia,8,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Poda Aclareo
1631544761286,Eucalyptus globulus,7,0.018,Muy Ralo,Regular,Regular,No apreciable,Bueno,Severa,Regular,Tala
1660188850013,Phylantus sp,3.8,0,Denso,Bueno,Bueno,No apreciable,Bueno,Ninguna,Regular,Conservacion
1664837550230,Macleania rupestris,8.1,0,Medio,Bueno,Bueno,No apreciable,Bueno,Ninguna,,Conservacion
1639676317090,Fraxinus chinensis,16,0,Medio,Regular,Regular,Raices Descubiertas,Regular,Moderada,Regular,Tratamiento Integral
1638851799172,Ficus soatensis,11,0,Denso,Bueno,Bueno,Raices estranguladoras,Bueno,Ninguna,Regular,Tratamiento Integral
12405,Lafoensia acuminata,14,0,Denso,Malo,Regular,No apreciable,Bueno,Severa,,Poda Estructural
1429897167695,Pittosporum undulatum,10,0,Denso,Regular,Regular,No apreciable,Regular,Moderada,Regular,Tala
1416261107216,Sambucus nigra,8,0,Denso,Regular,Bueno,No apreciable,Regular,Ninguna,Regular,Poda Estructural
153811,Eucalyptus globulus,14.5,0,Ralo,Regular,Regular,No apreciable,Regular,Moderada,,Tala
1424357756573,Acacia decurrens,4,0,Denso,Malo,Malo,No apreciable,Bueno,Moderada,Regular,Tala
1415130817207,Acacia mearnsii,20,0,Medio,Regular,Malo,No apreciable,Bueno,Severa,Regular,Tala
1433535911869,Salix humboldtiana,7,0,Denso,Bueno,Bueno,No apreciable,Bueno,Ninguna,Regular,Poda Equilibrio
1425516309688,Pittosporum undulatum,7,0,Medio,Regular,Regular,No apreciable,Bueno,Ninguna,Regular,Conservacion
1440191834868,Cotoneaster panosa,2,0,Medio,Bueno,Bueno,No apreciable,Bueno,Ninguna,Regular,Conservacion
1442353366326,Cupressus lusitanica,8.14,0,Medio,Regular,Regular,No apreciable,Bueno,Moderada,,Tala
1455157663279,Ficus soatensis,12,0,Medio,Regular,Bueno,No apreciable,Bueno,Moderada,,Tratamiento Integral
